id,home_team_api_id,away_team_api_id,match_api_id,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal,home_player_1,home_player_2,home_player_3,home_player_4,home_player_5,home_player_6,home_player_7,home_player_8,home_player_9,home_player_10,home_player_11,away_player_1,away_player_2,away_player_3,away_player_4,away_player_5,away_player_6,away_player_7,away_player_8,away_player_9,away_player_10,away_player_11
1793,8549,10261,489186,8549,10261,0,0,22978.0,33754.0,24166.0,24167.0,24161.0,24753.0,35544.0,33128.0,30892.0,35608.0,42183.0,24224.0,25518.0,30929.0,26209.0,37475.0,33852.0,40565.0,30360.0,29581.0,37799.0,30619.0
1794,8456,10260,489187,8456,10260,0,1,31432.0,24208.0,39027.0,24211.0,33963.0,30367.0,24213.0,34299.0,30340.0,33974.0,25342.0,30726.0,38994.0,30620.0,30865.0,32569.0,30893.0,24148.0,34944.0,30802.0,30829.0,27430.0
1795,8462,8655,489188,8462,8655,3,2,36286.0,34036.0,24216.0,24630.0,40987.0,23285.0,25517.0,24373.0,63520.0,30830.0,30348.0,30622.0,37764.0,19020.0,23921.0,24136.0,30842.0,38711.0,23913.0,23916.0,34947.0,30646.0
1796,10194,8667,489189,10194,8667,1,1,23794.0,40574.0,40005.0,34214.0,35467.0,22994.0,35636.0,24133.0,25668.0,38755.0,23314.0,23021.0,40132.0,34275.0,26066.0,34430.0,34437.0,30595.0,23023.0,23025.0,39073.0,23352.0
1797,8528,8659,489190,8528,8659,2,1,34421.0,24890.0,24230.0,35472.0,111865.0,35327.0,24528.0,25150.0,97988.0,34466.0,24841.0,36373.0,31731.0,37280.0,26527.0,24728.0,24171.0,40055.0,24664.0,38433.0,23257.0,27267.0
1798,8455,9825,489191,8455,9825,1,2,30859.0,25925.0,31306.0,30627.0,38834.0,32345.0,30686.0,30699.0,30631.0,31906.0,37804.0,23686.0,26111.0,38835.0,30986.0,31291.0,39297.0,30613.0,23678.0,26181.0,30960.0,30843.0
1799,10260,8472,489192,10260,8472,1,0,30726.0,38994.0,30620.0,30865.0,32569.0,30802.0,24148.0,34944.0,30893.0,30829.0,27430.0,24527.0,38836.0,24740.0,24408.0,36786.0,24411.0,,17866.0,38802.0,33418.0,23927.0
1800,9825,8528,489193,9825,8528,1,0,23686.0,26111.0,30831.0,30986.0,31291.0,39297.0,30613.0,23678.0,26181.0,30843.0,30960.0,34421.0,34987.0,35472.0,24230.0,111865.0,35327.0,97988.0,25150.0,24890.0,34466.0,24841.0
1801,8654,8586,489194,8654,8586,0,2,36374.0,30687.0,24751.0,23818.0,26348.0,36394.0,24747.0,24223.0,30966.0,34543.0,33781.0,30455.0,46403.0,38697.0,30354.0,40006.0,23760.0,34182.0,30818.0,30895.0,31097.0,40755.0
1802,8668,10252,489195,8668,10252,2,3,31465.0,30371.0,24004.0,23268.0,33086.0,24006.0,39618.0,30876.0,24011.0,36012.0,25666.0,30380.0,33863.0,43280.0,24658.0,30357.0,23283.0,38609.0,23782.0,38807.0,23264.0,23354.0
1803,10261,10194,489196,10261,10194,2,2,24224.0,25518.0,30929.0,26209.0,37475.0,33852.0,23983.0,40565.0,29581.0,30619.0,37799.0,23794.0,40574.0,40005.0,23284.0,35467.0,25668.0,35636.0,24133.0,33941.0,23072.0,23314.0
1804,8655,8650,489197,8655,8650,1,3,30622.0,37764.0,19020.0,23921.0,24136.0,30842.0,38711.0,23913.0,23916.0,30646.0,23170.0,30660.0,37442.0,30617.0,24134.0,47547.0,24800.0,38818.0,30889.0,30915.0,30618.0,37139.0
1805,9879,8456,489198,9879,8456,1,1,30633.0,37266.0,23780.0,26777.0,24781.0,30956.0,30338.0,24843.0,24020.0,31907.0,24741.0,31432.0,30509.0,24211.0,23939.0,26436.0,34299.0,39027.0,24213.0,30367.0,30340.0,25342.0
1806,8559,8455,489199,8559,8455,0,2,23932.0,26454.0,23783.0,24336.0,23785.0,23934.0,23784.0,23933.0,35532.0,24372.0,34261.0,30859.0,25925.0,26564.0,30627.0,38834.0,32345.0,31906.0,30631.0,30699.0,30686.0,37804.0
1807,8659,8462,489200,8659,8462,1,1,36373.0,31731.0,37280.0,26527.0,24728.0,24171.0,38433.0,24664.0,40055.0,23257.0,27267.0,36286.0,34036.0,34418.0,24216.0,24630.0,38820.0,25517.0,24653.0,40987.0,30830.0,30348.0
1808,8667,8549,489201,8667,8549,2,1,23021.0,40132.0,34275.0,26066.0,34430.0,30595.0,23023.0,34437.0,23025.0,39073.0,23352.0,22978.0,33754.0,24166.0,24167.0,24161.0,24753.0,35544.0,33128.0,30892.0,42183.0,35608.0
1809,8650,8667,489202,8650,8667,2,2,30660.0,37442.0,24134.0,30617.0,414792.0,30889.0,38818.0,24800.0,37920.0,30618.0,37139.0,23021.0,40132.0,34275.0,26066.0,34430.0,32577.0,23023.0,30595.0,23025.0,39073.0,23352.0
1810,8472,8659,489203,8472,8659,4,0,24527.0,36786.0,24740.0,24446.0,24408.0,38802.0,24655.0,30352.0,17866.0,33418.0,30988.0,36373.0,31731.0,26527.0,37280.0,24728.0,24171.0,38433.0,40055.0,23257.0,24664.0,23788.0
